的中No,race_id,日付,venue,決着,決着オッズ,買い目順位,組み合わせ,EV,配分(円),的中フラグ,回収(円),総投資(円)
1,"=""2720260203020009""","=""2026-02-04""",京王閣,"=""2-5-4""",12820.0,1,"=""2-5-4""",68.9913,1200,1,153840,2600
1,"=""2720260203020009""","=""2026-02-04""",京王閣,"=""2-5-4""",12820.0,2,"=""2-5-6""",16.1826,200,0,0,2600
1,"=""2720260203020009""","=""2026-02-04""",京王閣,"=""2-5-4""",12820.0,3,"=""2-5-1""",3.2832,100,0,0,2600
1,"=""2720260203020009""","=""2026-02-04""",京王閣,"=""2-5-4""",12820.0,4,"=""2-5-7""",1.1088,100,0,0,2600
1,"=""2720260203020009""","=""2026-02-04""",京王閣,"=""2-5-4""",12820.0,5,"=""2-6-5""",1.6974,100,0,0,2600
1,"=""2720260203020009""","=""2026-02-04""",京王閣,"=""2-5-4""",12820.0,6,"=""2-5-3""",0.2841,100,0,0,2600
1,"=""2720260203020009""","=""2026-02-04""",京王閣,"=""2-5-4""",12820.0,7,"=""2-1-5""",0.2739,100,0,0,2600
1,"=""2720260203020009""","=""2026-02-04""",京王閣,"=""2-5-4""",12820.0,8,"=""2-3-5""",0.0244,100,0,0,2600
1,"=""2720260203020009""","=""2026-02-04""",京王閣,"=""2-5-4""",12820.0,9,"=""2-1-4""",0.0207,100,0,0,2600
1,"=""2720260203020009""","=""2026-02-04""",京王閣,"=""2-5-4""",12820.0,10,"=""2-6-1""",0.0065,100,0,0,2600
1,"=""2720260203020009""","=""2026-02-04""",京王閣,"=""2-5-4""",12820.0,11,"=""2-1-6""",0.0051,100,0,0,2600
1,"=""2720260203020009""","=""2026-02-04""",京王閣,"=""2-5-4""",12820.0,12,"=""2-6-3""",0.0006,100,0,0,2600
1,"=""2720260203020009""","=""2026-02-04""",京王閣,"=""2-5-4""",12820.0,13,"=""2-3-6""",0.0003,100,0,0,2600
1,"=""2720260203020009""","=""2026-02-04""",京王閣,"=""2-5-4""",12820.0,14,"=""2-1-7""",0.0002,100,0,0,2600
2,"=""3120260204010011""","=""2026-02-04""",松戸,"=""3-2-7""",6030.0,1,"=""3-7-4""",8.6589,1000,0,0,2600
2,"=""3120260204010011""","=""2026-02-04""",松戸,"=""3-2-7""",6030.0,2,"=""3-7-1""",5.5902,400,0,0,2600
2,"=""3120260204010011""","=""2026-02-04""",松戸,"=""3-2-7""",6030.0,3,"=""3-7-5""",1.0047,100,0,0,2600
2,"=""3120260204010011""","=""2026-02-04""",松戸,"=""3-2-7""",6030.0,4,"=""3-7-6""",0.6582,100,0,0,2600
2,"=""3120260204010011""","=""2026-02-04""",松戸,"=""3-2-7""",6030.0,5,"=""3-7-2""",0.0785,100,0,0,2600
2,"=""3120260204010011""","=""2026-02-04""",松戸,"=""3-2-7""",6030.0,6,"=""3-4-7""",0.0013,100,0,0,2600
2,"=""3120260204010011""","=""2026-02-04""",松戸,"=""3-2-7""",6030.0,7,"=""3-1-7""",0.0007,100,0,0,2600
2,"=""3120260204010011""","=""2026-02-04""",松戸,"=""3-2-7""",6030.0,8,"=""3-5-7""",0.0001,100,0,0,2600
2,"=""3120260204010011""","=""2026-02-04""",松戸,"=""3-2-7""",6030.0,9,"=""3-2-7""",0.0,100,1,6030,2600
2,"=""3120260204010011""","=""2026-02-04""",松戸,"=""3-2-7""",6030.0,10,"=""3-5-4""",0.0,100,0,0,2600
2,"=""3120260204010011""","=""2026-02-04""",松戸,"=""3-2-7""",6030.0,11,"=""3-1-5""",0.0,100,0,0,2600
2,"=""3120260204010011""","=""2026-02-04""",松戸,"=""3-2-7""",6030.0,12,"=""3-5-1""",0.0,100,0,0,2600
2,"=""3120260204010011""","=""2026-02-04""",松戸,"=""3-2-7""",6030.0,13,"=""3-4-2""",0.0,100,0,0,2600
2,"=""3120260204010011""","=""2026-02-04""",松戸,"=""3-2-7""",6030.0,14,"=""3-2-4""",0.0,100,0,0,2600
3,"=""3120260204020009""","=""2026-02-05""",松戸,"=""7-6-4""",20010.0,1,"=""7-2-4""",11.4648,1000,0,0,1900
3,"=""3120260204020009""","=""2026-02-05""",松戸,"=""7-6-4""",20010.0,2,"=""7-4-2""",0.2033,100,0,0,1900
3,"=""3120260204020009""","=""2026-02-05""",松戸,"=""7-6-4""",20010.0,3,"=""7-2-3""",0.5149,100,0,0,1900
3,"=""3120260204020009""","=""2026-02-05""",松戸,"=""7-6-4""",20010.0,4,"=""7-4-1""",0.0008,100,0,0,1900
3,"=""3120260204020009""","=""2026-02-05""",松戸,"=""7-6-4""",20010.0,5,"=""7-4-3""",0.0001,100,0,0,1900
3,"=""3120260204020009""","=""2026-02-05""",松戸,"=""7-6-4""",20010.0,6,"=""7-3-4""",0.0003,100,0,0,1900
3,"=""3120260204020009""","=""2026-02-05""",松戸,"=""7-6-4""",20010.0,7,"=""7-4-5""",0.0001,100,0,0,1900
3,"=""3120260204020009""","=""2026-02-05""",松戸,"=""7-6-4""",20010.0,8,"=""7-2-6""",0.0002,100,0,0,1900
3,"=""3120260204020009""","=""2026-02-05""",松戸,"=""7-6-4""",20010.0,9,"=""7-4-6""",0.0,100,0,0,1900
3,"=""3120260204020009""","=""2026-02-05""",松戸,"=""7-6-4""",20010.0,10,"=""7-6-4""",0.0,100,1,20010,1900
4,"=""2820260209010011""","=""2026-02-09""",立川,"=""5-2-4""",2830.0,1,"=""5-2-6""",17.4919,900,0,0,2600
4,"=""2820260209010011""","=""2026-02-09""",立川,"=""5-2-4""",2830.0,2,"=""5-6-2""",11.3422,500,0,0,2600
4,"=""2820260209010011""","=""2026-02-09""",立川,"=""5-2-4""",2830.0,3,"=""5-2-7""",0.0016,100,0,0,2600
4,"=""2820260209010011""","=""2026-02-09""",立川,"=""5-2-4""",2830.0,4,"=""5-7-2""",0.004,100,0,0,2600
4,"=""2820260209010011""","=""2026-02-09""",立川,"=""5-2-4""",2830.0,5,"=""5-2-3""",0.0011,100,0,0,2600
4,"=""2820260209010011""","=""2026-02-09""",立川,"=""5-2-4""",2830.0,6,"=""5-6-7""",0.0042,100,0,0,2600
4,"=""2820260209010011""","=""2026-02-09""",立川,"=""5-2-4""",2830.0,7,"=""5-7-6""",0.0059,100,0,0,2600
4,"=""2820260209010011""","=""2026-02-09""",立川,"=""5-2-4""",2830.0,8,"=""5-2-1""",0.0001,100,0,0,2600
4,"=""2820260209010011""","=""2026-02-09""",立川,"=""5-2-4""",2830.0,9,"=""5-2-4""",0.0002,100,1,2830,2600
