的中No,race_id,日付,venue,決着,決着オッズ,買い目順位,組み合わせ,EV,配分(円),的中フラグ,回収(円),総投資(円)
1,"=""4720260201020008""","=""2026-02-02""",松阪,"=""2-7-5""",530.0,1,"=""2-7-5""",3.0124,600,1,3180,2600
1,"=""4720260201020008""","=""2026-02-02""",松阪,"=""2-7-5""",530.0,2,"=""2-5-7""",3.134,800,0,0,2600
1,"=""4720260201020008""","=""2026-02-02""",松阪,"=""2-7-5""",530.0,3,"=""2-7-1""",0.0386,100,0,0,2600
1,"=""4720260201020008""","=""2026-02-02""",松阪,"=""2-7-5""",530.0,4,"=""2-7-3""",0.0317,100,0,0,2600
1,"=""4720260201020008""","=""2026-02-02""",松阪,"=""2-7-5""",530.0,5,"=""2-5-1""",0.0881,100,0,0,2600
1,"=""4720260201020008""","=""2026-02-02""",松阪,"=""2-7-5""",530.0,6,"=""2-1-7""",0.0451,100,0,0,2600
1,"=""4720260201020008""","=""2026-02-02""",松阪,"=""2-7-5""",530.0,7,"=""2-5-3""",0.0465,100,0,0,2600
1,"=""4720260201020008""","=""2026-02-02""",松阪,"=""2-7-5""",530.0,8,"=""2-1-5""",0.083,100,0,0,2600
1,"=""4720260201020008""","=""2026-02-02""",松阪,"=""2-7-5""",530.0,9,"=""2-3-7""",0.0307,100,0,0,2600
1,"=""4720260201020008""","=""2026-02-02""",松阪,"=""2-7-5""",530.0,10,"=""2-3-5""",0.0372,100,0,0,2600
1,"=""4720260201020008""","=""2026-02-02""",松阪,"=""2-7-5""",530.0,11,"=""2-7-4""",0.0004,100,0,0,2600
1,"=""4720260201020008""","=""2026-02-02""",松阪,"=""2-7-5""",530.0,12,"=""2-7-6""",0.0006,100,0,0,2600
1,"=""4720260201020008""","=""2026-02-02""",松阪,"=""2-7-5""",530.0,13,"=""2-5-4""",0.0012,100,0,0,2600
1,"=""4720260201020008""","=""2026-02-02""",松阪,"=""2-7-5""",530.0,14,"=""2-4-7""",0.001,100,0,0,2600
2,"=""4720260201030012""","=""2026-02-03""",松阪,"=""4-7-1""",2350.0,1,"=""4-3-1""",13.9026,1200,0,0,2500
2,"=""4720260201030012""","=""2026-02-03""",松阪,"=""4-7-1""",2350.0,2,"=""4-1-3""",2.1182,100,0,0,2500
2,"=""4720260201030012""","=""2026-02-03""",松阪,"=""4-7-1""",2350.0,3,"=""4-5-1""",1.434,100,0,0,2500
2,"=""4720260201030012""","=""2026-02-03""",松阪,"=""4-7-1""",2350.0,4,"=""4-1-5""",0.7518,100,0,0,2500
2,"=""4720260201030012""","=""2026-02-03""",松阪,"=""4-7-1""",2350.0,5,"=""4-3-7""",0.0195,100,0,0,2500
2,"=""4720260201030012""","=""2026-02-03""",松阪,"=""4-7-1""",2350.0,6,"=""4-7-3""",0.0028,100,0,0,2500
2,"=""4720260201030012""","=""2026-02-03""",松阪,"=""4-7-1""",2350.0,7,"=""4-6-3""",0.005,100,0,0,2500
2,"=""4720260201030012""","=""2026-02-03""",松阪,"=""4-7-1""",2350.0,8,"=""4-1-7""",0.0002,100,0,0,2500
2,"=""4720260201030012""","=""2026-02-03""",松阪,"=""4-7-1""",2350.0,9,"=""4-7-1""",0.0002,100,1,2350,2500
2,"=""4720260201030012""","=""2026-02-03""",松阪,"=""4-7-1""",2350.0,10,"=""4-1-6""",0.0006,100,0,0,2500
2,"=""4720260201030012""","=""2026-02-03""",松阪,"=""4-7-1""",2350.0,11,"=""4-1-2""",0.0,100,0,0,2500
2,"=""4720260201030012""","=""2026-02-03""",松阪,"=""4-7-1""",2350.0,12,"=""4-2-1""",0.0,100,0,0,2500
2,"=""4720260201030012""","=""2026-02-03""",松阪,"=""4-7-1""",2350.0,13,"=""4-7-6""",0.0,100,0,0,2500
2,"=""4720260201030012""","=""2026-02-03""",松阪,"=""4-7-1""",2350.0,14,"=""4-7-2""",0.0,100,0,0,2500
3,"=""2720260203020007""","=""2026-02-04""",京王閣,"=""5-2-3""",12200.0,1,"=""5-2-3""",9.0438,400,1,48800,700
3,"=""2720260203020007""","=""2026-02-04""",京王閣,"=""5-2-3""",12200.0,2,"=""5-2-4""",2.2527,100,0,0,700
3,"=""2720260203020007""","=""2026-02-04""",京王閣,"=""5-2-3""",12200.0,3,"=""5-2-6""",0.0131,100,0,0,700
3,"=""2720260203020007""","=""2026-02-04""",京王閣,"=""5-2-3""",12200.0,4,"=""5-2-7""",0.0036,100,0,0,700
4,"=""2720260203020009""","=""2026-02-04""",京王閣,"=""2-5-4""",12820.0,1,"=""2-5-4""",68.9913,1200,1,153840,2600
4,"=""2720260203020009""","=""2026-02-04""",京王閣,"=""2-5-4""",12820.0,2,"=""2-5-6""",16.1826,200,0,0,2600
4,"=""2720260203020009""","=""2026-02-04""",京王閣,"=""2-5-4""",12820.0,3,"=""2-5-1""",3.2832,100,0,0,2600
4,"=""2720260203020009""","=""2026-02-04""",京王閣,"=""2-5-4""",12820.0,4,"=""2-5-7""",1.1088,100,0,0,2600
4,"=""2720260203020009""","=""2026-02-04""",京王閣,"=""2-5-4""",12820.0,5,"=""2-6-5""",1.6974,100,0,0,2600
4,"=""2720260203020009""","=""2026-02-04""",京王閣,"=""2-5-4""",12820.0,6,"=""2-5-3""",0.2841,100,0,0,2600
4,"=""2720260203020009""","=""2026-02-04""",京王閣,"=""2-5-4""",12820.0,7,"=""2-1-5""",0.2739,100,0,0,2600
4,"=""2720260203020009""","=""2026-02-04""",京王閣,"=""2-5-4""",12820.0,8,"=""2-3-5""",0.0244,100,0,0,2600
