label,n,hits,hr,roi,profit,gami,gami_rate,roi_ex1,avg_bets,avg_invest
A) EV比例 14点 (現行),242,62,25.6198347107438,155.08210047146804,338810,19,30.64516129032258,125.9031051861486,14.0,2541.7355371900826
B) EV比例 7点,242,27,11.15702479338843,157.4607508532423,168360,3,11.11111111111111,126.83276450511944,7.0,1210.7438016528927
C) EV比例 5点,242,20,8.264462809917356,163.01275760549558,128420,0,0.0,131.5603532875368,5.0,842.1487603305785
D) スマートアンチガミ 14点,242,62,25.6198347107438,95.38075560802834,-15650,12,19.35483870967742,91.31345926800472,14.0,1400.0
E) スマートアンチガミ 10点,242,42,17.355371900826448,89.8305785123967,-24610,7,16.666666666666664,84.53305785123966,10.0,1000.0
F) スマートアンチガミ 7点,242,27,11.15702479338843,94.96458087367178,-8530,1,3.7037037037037033,87.39669421487604,7.0,700.0
G) 固定予算アンチガミ 14点,242,1,0.4132231404958678,56.023306627822286,-120760,0,0.0,0.0,1.1198347107438016,1134.7107438016528
H) 固定予算アンチガミ 10点,242,2,0.8264462809917356,114.56563706563708,30180,0,0.0,55.68532818532819,1.0909090909090908,856.198347107438
I) 固定予算アンチガミ 7点,242,3,1.2396694214876034,156.42539682539683,88870,0,0.0,99.44761904761906,1.0413223140495869,650.8264462809917
