的中No,race_id,日付,venue,決着,決着オッズ,買い目順位,組み合わせ,EV,配分(円),的中フラグ,回収(円),総投資(円)
1,"=""2420260131020006""","=""2026-02-01""",宇都宮,"=""4-5-2""",3790.0,1,"=""5-4-2""",24.8112,500,0,0,900
1,"=""2420260131020006""","=""2026-02-01""",宇都宮,"=""4-5-2""",3790.0,2,"=""4-5-2""",1.3664,100,1,3790,900
1,"=""2420260131020006""","=""2026-02-01""",宇都宮,"=""4-5-2""",3790.0,3,"=""5-4-7""",1.2529,100,0,0,900
1,"=""2420260131020006""","=""2026-02-01""",宇都宮,"=""4-5-2""",3790.0,4,"=""5-7-4""",1.0563,100,0,0,900
1,"=""2420260131020006""","=""2026-02-01""",宇都宮,"=""4-5-2""",3790.0,5,"=""5-4-3""",1.0325,100,0,0,900
2,"=""7320260129040004""","=""2026-02-01""",小松島,"=""7-1-9""",4500.0,1,"=""7-1-9""",19.7405,300,1,13500,600
2,"=""7320260129040004""","=""2026-02-01""",小松島,"=""7-1-9""",4500.0,2,"=""1-7-9""",12.7735,100,0,0,600
2,"=""7320260129040004""","=""2026-02-01""",小松島,"=""7-1-9""",4500.0,3,"=""7-9-1""",2.363,100,0,0,600
2,"=""7320260129040004""","=""2026-02-01""",小松島,"=""7-1-9""",4500.0,4,"=""1-9-7""",1.2043,100,0,0,600
3,"=""4720260201020008""","=""2026-02-02""",松阪,"=""2-7-5""",530.0,1,"=""2-5-7""",3.134,200,0,0,300
3,"=""4720260201020008""","=""2026-02-02""",松阪,"=""2-7-5""",530.0,2,"=""2-7-5""",3.0124,100,1,530,300
4,"=""2720260203020007""","=""2026-02-04""",京王閣,"=""5-2-3""",12200.0,1,"=""2-5-1""",15.5818,300,0,0,600
4,"=""2720260203020007""","=""2026-02-04""",京王閣,"=""5-2-3""",12200.0,2,"=""5-2-3""",9.0438,100,1,12200,600
4,"=""2720260203020007""","=""2026-02-04""",京王閣,"=""5-2-3""",12200.0,3,"=""5-2-4""",2.2527,100,0,0,600
4,"=""2720260203020007""","=""2026-02-04""",京王閣,"=""5-2-3""",12200.0,4,"=""2-5-3""",1.7272,100,0,0,600
5,"=""2720260203020009""","=""2026-02-04""",京王閣,"=""2-5-4""",12820.0,1,"=""2-5-4""",68.9913,500,1,64100,900
5,"=""2720260203020009""","=""2026-02-04""",京王閣,"=""2-5-4""",12820.0,2,"=""2-5-6""",16.1826,100,0,0,900
5,"=""2720260203020009""","=""2026-02-04""",京王閣,"=""2-5-4""",12820.0,3,"=""2-5-1""",3.2832,100,0,0,900
5,"=""2720260203020009""","=""2026-02-04""",京王閣,"=""2-5-4""",12820.0,4,"=""2-6-5""",1.6974,100,0,0,900
5,"=""2720260203020009""","=""2026-02-04""",京王閣,"=""2-5-4""",12820.0,5,"=""2-5-7""",1.1088,100,0,0,900
6,"=""3120260204010007""","=""2026-02-04""",松戸,"=""2-4-3""",1700.0,1,"=""2-4-7""",108.2403,400,0,0,700
6,"=""3120260204010007""","=""2026-02-04""",松戸,"=""2-4-3""",1700.0,2,"=""4-2-7""",9.6511,100,0,0,700
6,"=""3120260204010007""","=""2026-02-04""",松戸,"=""2-4-3""",1700.0,3,"=""2-4-3""",1.8725,100,1,1700,700
6,"=""3120260204010007""","=""2026-02-04""",松戸,"=""2-4-3""",1700.0,4,"=""2-4-5""",1.5468,100,0,0,700
7,"=""2720260203030006""","=""2026-02-05""",京王閣,"=""7-5-3""",6960.0,1,"=""7-3-5""",19.7878,600,0,0,1200
7,"=""2720260203030006""","=""2026-02-05""",京王閣,"=""7-5-3""",6960.0,2,"=""7-3-2""",13.3938,100,0,0,1200
7,"=""2720260203030006""","=""2026-02-05""",京王閣,"=""7-5-3""",6960.0,3,"=""7-5-3""",7.0777,100,1,6960,1200
7,"=""2720260203030006""","=""2026-02-05""",京王閣,"=""7-5-3""",6960.0,4,"=""5-7-3""",3.0221,100,0,0,1200
7,"=""2720260203030006""","=""2026-02-05""",京王閣,"=""7-5-3""",6960.0,5,"=""7-5-1""",2.8004,100,0,0,1200
7,"=""2720260203030006""","=""2026-02-05""",京王閣,"=""7-5-3""",6960.0,6,"=""7-2-3""",1.9422,100,0,0,1200
7,"=""2720260203030006""","=""2026-02-05""",京王閣,"=""7-5-3""",6960.0,7,"=""2-7-3""",1.5793,100,0,0,1200
8,"=""5320260205030009""","=""2026-02-07""",奈良,"=""1-5-8""",7300.0,1,"=""1-8-5""",33.9727,200,0,0,300
8,"=""5320260205030009""","=""2026-02-07""",奈良,"=""1-5-8""",7300.0,2,"=""1-5-8""",20.428,100,1,7300,300
9,"=""4320260207030006""","=""2026-02-09""",岐阜,"=""5-2-1""",14720.0,1,"=""5-2-1""",69.6184,600,1,88320,1600
9,"=""4320260207030006""","=""2026-02-09""",岐阜,"=""5-2-1""",14720.0,2,"=""5-1-2""",49.4295,300,0,0,1600
9,"=""4320260207030006""","=""2026-02-09""",岐阜,"=""5-2-1""",14720.0,3,"=""5-2-7""",5.6799,100,0,0,1600
9,"=""4320260207030006""","=""2026-02-09""",岐阜,"=""5-2-1""",14720.0,4,"=""5-2-4""",4.0046,100,0,0,1600
9,"=""4320260207030006""","=""2026-02-09""",岐阜,"=""5-2-1""",14720.0,5,"=""5-1-4""",3.46,100,0,0,1600
9,"=""4320260207030006""","=""2026-02-09""",岐阜,"=""5-2-1""",14720.0,6,"=""5-7-2""",2.7986,100,0,0,1600
9,"=""4320260207030006""","=""2026-02-09""",岐阜,"=""5-2-1""",14720.0,7,"=""5-4-2""",1.6675,100,0,0,1600
9,"=""4320260207030006""","=""2026-02-09""",岐阜,"=""5-2-1""",14720.0,8,"=""5-4-1""",1.4804,100,0,0,1600
9,"=""4320260207030006""","=""2026-02-09""",岐阜,"=""5-2-1""",14720.0,9,"=""5-1-7""",1.0165,100,0,0,1600
10,"=""3520260209020011""","=""2026-02-10""",平塚,"=""2-7-1""",10030.0,1,"=""2-1-7""",100.7447,200,0,0,300
10,"=""3520260209020011""","=""2026-02-10""",平塚,"=""2-7-1""",10030.0,2,"=""2-7-1""",1.6112,100,1,10030,300
11,"=""2820260209030006""","=""2026-02-11""",立川,"=""4-5-3""",6160.0,1,"=""5-4-3""",37.0104,500,0,0,900
11,"=""2820260209030006""","=""2026-02-11""",立川,"=""4-5-3""",6160.0,2,"=""5-4-2""",9.9059,100,0,0,900
11,"=""2820260209030006""","=""2026-02-11""",立川,"=""4-5-3""",6160.0,3,"=""4-5-3""",5.3407,100,1,6160,900
11,"=""2820260209030006""","=""2026-02-11""",立川,"=""4-5-3""",6160.0,4,"=""4-5-2""",1.4788,100,0,0,900
11,"=""2820260209030006""","=""2026-02-11""",立川,"=""4-5-3""",6160.0,5,"=""5-4-1""",1.2285,100,0,0,900
12,"=""7420260210020008""","=""2026-02-11""",高知,"=""3-2-5""",3260.0,1,"=""3-7-2""",17.9768,600,0,0,1300
12,"=""7420260210020008""","=""2026-02-11""",高知,"=""3-2-5""",3260.0,2,"=""3-2-7""",9.2633,100,0,0,1300
12,"=""7420260210020008""","=""2026-02-11""",高知,"=""3-2-5""",3260.0,3,"=""3-7-5""",7.1829,100,0,0,1300
12,"=""7420260210020008""","=""2026-02-11""",高知,"=""3-2-5""",3260.0,4,"=""7-3-5""",3.0252,100,0,0,1300
12,"=""7420260210020008""","=""2026-02-11""",高知,"=""3-2-5""",3260.0,5,"=""2-3-7""",2.4189,100,0,0,1300
12,"=""7420260210020008""","=""2026-02-11""",高知,"=""3-2-5""",3260.0,6,"=""3-2-5""",1.9457,100,1,3260,1300
12,"=""7420260210020008""","=""2026-02-11""",高知,"=""3-2-5""",3260.0,7,"=""3-5-7""",1.4969,100,0,0,1300
12,"=""7420260210020008""","=""2026-02-11""",高知,"=""3-2-5""",3260.0,8,"=""3-7-4""",1.3596,100,0,0,1300
13,"=""3820260212010004""","=""2026-02-12""",静岡,"=""3-9-2""",2900.0,1,"=""3-2-9""",33.8676,300,0,0,500
13,"=""3820260212010004""","=""2026-02-12""",静岡,"=""3-9-2""",2900.0,2,"=""3-9-2""",13.6377,100,1,2900,500
13,"=""3820260212010004""","=""2026-02-12""",静岡,"=""3-9-2""",2900.0,3,"=""2-3-9""",1.7747,100,0,0,500
14,"=""8620260212020007""","=""2026-02-13""",別府,"=""6-1-4""",10940.0,1,"=""6-1-4""",57.0545,600,1,65640,1200
14,"=""8620260212020007""","=""2026-02-13""",別府,"=""6-1-4""",10940.0,2,"=""1-6-4""",28.8733,100,0,0,1200
14,"=""8620260212020007""","=""2026-02-13""",別府,"=""6-1-4""",10940.0,3,"=""6-4-1""",10.908,100,0,0,1200
14,"=""8620260212020007""","=""2026-02-13""",別府,"=""6-1-4""",10940.0,4,"=""4-6-1""",4.2162,100,0,0,1200
14,"=""8620260212020007""","=""2026-02-13""",別府,"=""6-1-4""",10940.0,5,"=""6-1-2""",3.1455,100,0,0,1200
14,"=""8620260212020007""","=""2026-02-13""",別府,"=""6-1-4""",10940.0,6,"=""1-6-2""",2.8154,100,0,0,1200
14,"=""8620260212020007""","=""2026-02-13""",別府,"=""6-1-4""",10940.0,7,"=""1-4-6""",1.0602,100,0,0,1200
15,"=""2420260214010008""","=""2026-02-14""",宇都宮,"=""1-7-4""",13250.0,1,"=""1-7-4""",75.4253,200,1,26500,300
15,"=""2420260214010008""","=""2026-02-14""",宇都宮,"=""1-7-4""",13250.0,2,"=""1-4-7""",12.0724,100,0,0,300
16,"=""3820260212030001""","=""2026-02-14""",静岡,"=""5-7-1""",8140.0,1,"=""1-5-4""",21.0981,600,0,0,1100
16,"=""3820260212030001""","=""2026-02-14""",静岡,"=""5-7-1""",8140.0,2,"=""5-1-7""",2.8503,100,0,0,1100
16,"=""3820260212030001""","=""2026-02-14""",静岡,"=""5-7-1""",8140.0,3,"=""1-5-7""",2.393,100,0,0,1100
16,"=""3820260212030001""","=""2026-02-14""",静岡,"=""5-7-1""",8140.0,4,"=""5-7-1""",2.1793,100,1,8140,1100
16,"=""3820260212030001""","=""2026-02-14""",静岡,"=""5-7-1""",8140.0,5,"=""7-5-1""",1.5903,100,0,0,1100
16,"=""3820260212030001""","=""2026-02-14""",静岡,"=""5-7-1""",8140.0,6,"=""7-1-5""",1.2454,100,0,0,1100
17,"=""7320260214010012""","=""2026-02-14""",小松島,"=""3-1-4""",4770.0,1,"=""3-4-1""",77.2089,300,0,0,500
17,"=""7320260214010012""","=""2026-02-14""",小松島,"=""3-1-4""",4770.0,2,"=""4-3-1""",16.3651,100,0,0,500
17,"=""7320260214010012""","=""2026-02-14""",小松島,"=""3-1-4""",4770.0,3,"=""3-1-4""",2.0058,100,1,4770,500
18,"=""2420260214030009""","=""2026-02-16""",宇都宮,"=""1-3-5""",12560.0,1,"=""1-3-5""",2.9173,100,1,12560,100
19,"=""2320260217020007""","=""2026-02-18""",取手,"=""7-3-1""",790.0,1,"=""3-7-1""",7.3177,400,0,0,700
19,"=""2320260217020007""","=""2026-02-18""",取手,"=""7-3-1""",790.0,2,"=""3-7-5""",3.3347,100,0,0,700
19,"=""2320260217020007""","=""2026-02-18""",取手,"=""7-3-1""",790.0,3,"=""7-3-1""",1.8973,100,1,790,700
19,"=""2320260217020007""","=""2026-02-18""",取手,"=""7-3-1""",790.0,4,"=""7-3-5""",1.216,100,0,0,700
20,"=""3720260220010006""","=""2026-02-20""",伊東,"=""2-5-3""",3340.0,1,"=""2-7-5""",7.8873,600,0,0,1400
20,"=""3720260220010006""","=""2026-02-20""",伊東,"=""2-5-3""",3340.0,2,"=""2-5-7""",5.8715,100,0,0,1400
20,"=""3720260220010006""","=""2026-02-20""",伊東,"=""2-5-3""",3340.0,3,"=""2-5-6""",4.8614,100,0,0,1400
20,"=""3720260220010006""","=""2026-02-20""",伊東,"=""2-5-3""",3340.0,4,"=""2-7-4""",3.8402,100,0,0,1400
20,"=""3720260220010006""","=""2026-02-20""",伊東,"=""2-5-3""",3340.0,5,"=""2-5-4""",3.1861,100,0,0,1400
20,"=""3720260220010006""","=""2026-02-20""",伊東,"=""2-5-3""",3340.0,6,"=""2-4-7""",1.6646,100,0,0,1400
20,"=""3720260220010006""","=""2026-02-20""",伊東,"=""2-5-3""",3340.0,7,"=""2-3-5""",1.5549,100,0,0,1400
20,"=""3720260220010006""","=""2026-02-20""",伊東,"=""2-5-3""",3340.0,8,"=""2-4-5""",1.428,100,0,0,1400
20,"=""3720260220010006""","=""2026-02-20""",伊東,"=""2-5-3""",3340.0,9,"=""2-5-3""",1.1141,100,1,3340,1400
21,"=""6320260221020008""","=""2026-02-22""",防府,"=""2-4-7""",16110.0,1,"=""2-4-7""",22.4057,500,1,80550,1200
21,"=""6320260221020008""","=""2026-02-22""",防府,"=""2-4-7""",16110.0,2,"=""2-4-1""",12.558,100,0,0,1200
21,"=""6320260221020008""","=""2026-02-22""",防府,"=""2-4-7""",16110.0,3,"=""2-1-4""",7.8152,100,0,0,1200
21,"=""6320260221020008""","=""2026-02-22""",防府,"=""2-4-7""",16110.0,4,"=""2-1-7""",7.3385,100,0,0,1200
21,"=""6320260221020008""","=""2026-02-22""",防府,"=""2-4-7""",16110.0,5,"=""2-1-6""",2.3932,100,0,0,1200
21,"=""6320260221020008""","=""2026-02-22""",防府,"=""2-4-7""",16110.0,6,"=""2-4-3""",2.0099,100,0,0,1200
21,"=""6320260221020008""","=""2026-02-22""",防府,"=""2-4-7""",16110.0,7,"=""2-4-5""",1.8113,100,0,0,1200
21,"=""6320260221020008""","=""2026-02-22""",防府,"=""2-4-7""",16110.0,8,"=""2-3-4""",1.1174,100,0,0,1200
22,"=""8720260220030001""","=""2026-02-22""",熊本,"=""3-4-5""",3420.0,1,"=""3-5-4""",4.3221,500,0,0,1000
22,"=""8720260220030001""","=""2026-02-22""",熊本,"=""3-4-5""",3420.0,2,"=""3-5-2""",2.201,100,0,0,1000
22,"=""8720260220030001""","=""2026-02-22""",熊本,"=""3-4-5""",3420.0,3,"=""5-3-4""",1.8596,100,0,0,1000
22,"=""8720260220030001""","=""2026-02-22""",熊本,"=""3-4-5""",3420.0,4,"=""3-4-9""",1.6533,100,0,0,1000
22,"=""8720260220030001""","=""2026-02-22""",熊本,"=""3-4-5""",3420.0,5,"=""3-4-5""",1.5432,100,1,3420,1000
22,"=""8720260220030001""","=""2026-02-22""",熊本,"=""3-4-5""",3420.0,6,"=""3-2-5""",1.1251,100,0,0,1000
23,"=""8720260220030009""","=""2026-02-22""",熊本,"=""2-1-9""",9480.0,1,"=""1-2-9""",30.7859,500,0,0,1100
23,"=""8720260220030009""","=""2026-02-22""",熊本,"=""2-1-9""",9480.0,2,"=""2-1-9""",11.145,100,1,9480,1100
23,"=""8720260220030009""","=""2026-02-22""",熊本,"=""2-1-9""",9480.0,3,"=""1-9-2""",8.536,100,0,0,1100
