pattern,n,hits,hr,invest,ret,profit,roi,gami,gami_rate,max_ret,avg_hit_ret,median_hit_ret,roi_ex_top1
A) 確率順 + フィルタ有 (現行),84,21,25.0,214000,422650,208650,197.5,7,33.33333333333333,179480,20126.190476190477,6030.0,113.63084112149534
B) EV順   + フィルタ有,84,19,22.61904761904762,214000,418490,204490,195.55607476635515,6,31.57894736842105,179480,22025.78947368421,6850.0,111.68691588785047
C) 確率順 + フィルタ無,489,123,25.153374233128833,1236600,1541970,305370,124.6943231441048,47,38.21138211382114,193320,12536.341463414634,3420.0,109.06113537117903
D) EV順   + フィルタ無,489,93,19.018404907975462,1237100,1518490,281390,122.74593808099587,25,26.881720430107524,193320,16327.849462365592,4390.0,107.11906878991189
