label,n,hits,hr,roi,profit,gami,gami_rate,roi_ex1,avg_invest,avg_bets
A) EV比例 14点 (現行),242,62,25.6198347107438,155.08210047146804,338810,19,30.64516129032258,125.9031051861486,2541.7355371900826,14
B) EV比例 7点,242,27,11.15702479338843,157.4607508532423,168360,3,11.11111111111111,126.83276450511944,1210.7438016528927,7
C) アンチガミ 14点,242,62,25.6198347107438,84.77773430665079,-3044026169781833289749153934878050809282560,1,1.6129032258064515,11.636202217283223,8.263303761531578e+40,14
D) アンチガミ 10点,242,42,17.355371900826448,0.002764930346089001,-2579216692100277564861627592299599042935116,0,0.0,0.0014950923279538628,1.0658214907508732e+40,10
E) アンチガミ 7点,242,27,11.15702479338843,8.46435881549686e-06,-36186698159443775017669430092014014023444,0,0.0,6.013251019592528e-07,1.4953182323312402e+38,7
F) アンチガミ 5点,242,20,8.264462809917356,1.246004837225088e-06,-98858484138672867062931126630583122352,0,0.0,1.7566032510313837e-07,4.0850613789443954e+35,5
G) アンチガミ+EV余剰 7点,242,27,11.15702479338843,8.46435881549686e-06,-36186698159443775017669430092014014096044,0,0.0,6.013251019592528e-07,1.4953182323312402e+38,7
H) EV≥1.0除外+アンチガミ,242,12,4.958677685950414,8.436058424656237e-06,-24720412673000588307617152403796796,0,0.0,4.308949049685168e-10,1.021504742083852e+32,3
I) EV≥0.5除外+アンチガミ,242,13,5.371900826446281,0.4107308757576614,-58463863693082618964177703265194032,0,0.0,3.5584077352121e-06,2.4258257514310015e+32,3
