選手名,旧順位,新順位,順位変動,隠れ鬼脚指数,新_隠れ鬼脚指数,鬼脚差分,千切れリスク,新_千切れリスク,千切れ差分,死に駆け忠誠度,新_死に駆け忠誠度,忠誠差分,突っ込み力,新_突っ込み力,突っ込み差分,新総合,再スコア特記事項
樫山 恭柄,20,21,-1,52.0,67.3,15.3,31.8,70.3,38.5,40.0,4.0,-36.0,50.0,0.0,-50.0,35.4,IP5.0 / DP6.0 / BP5.0 | 位置取り負け由来の着悪化に注意 / BP/追走面の脆さで番手過信禁物
山本 伸一,30,22,8,76.0,66.9,-9.1,8.0,4.1,-3.9,12.0,1.0,-11.0,55.0,66.9,11.9,34.7,IP6.57 / EP6.0 / DP6.67 / BP7.0 | 位置取り負け由来の着悪化に注意 / 展開向けば終いで浮上
岩谷 拓磨,8,23,-15,76.0,66.0,-10.0,0.0,0.0,0.0,43.9,32.0,-11.9,70.0,33.0,-37.0,32.8,IP6.22 / EP6.75 / DP6.88 / BP6.0 | 位置取り負け由来の着悪化に注意 / 縁故系ライン検出1回
上田 国広,12,24,-12,88.0,70.7,-17.3,8.0,39.7,31.7,40.0,4.0,-36.0,50.0,0.0,-50.0,28.6,IP5.71 / DP7.0 / BP5.86 | 大敗でもDP/伸びで脚残り検出 / マーク時の追走課題あり
野田 源一,28,25,3,66.2,73.1,6.9,0.0,0.0,0.0,12.0,1.0,-11.0,78.6,38.4,-40.2,28.1,IP5.14 / DP6.14 / BP6.0 | 大敗でもDP/伸びで脚残り検出
坂田 康季,7,26,-19,20.0,8.8,-11.2,60.0,68.4,8.4,44.4,27.0,-17.4,70.0,0.0,-70.0,26.0,IP5.6 / EP6.25 / DP6.25 / BP5.0 | BP/追走面の脆さで番手過信禁物
犬伏 湧也,22,27,-5,52.0,70.5,18.5,0.0,0.0,0.0,45.0,27.4,-17.6,75.0,0.0,-75.0,24.5,IP5.75 / EP6.5 / DP6.5 | 大敗でもDP/伸びで脚残り検出
柴崎 淳,23,28,-5,76.0,67.5,-8.5,8.0,3.8,-4.2,40.0,10.0,-30.0,47.5,0.0,-47.5,20.3,IP6.67 / EP5.0 / DP7.0 / BP7.25 | 位置取り負け由来の着悪化に注意
松本 秀之介,12,29,-17,76.0,72.0,-4.0,0.0,0.0,0.0,40.0,6.0,-34.0,70.0,0.0,-70.0,19.5,IP6.33 / EP7.0 / DP7.0 | 大敗でもDP/伸びで脚残り検出
香川雄介,10,30,-20,64.5,0.0,-64.5,33.7,4.2,-29.4,40.0,0.0,-40.0,50.0,0.0,-50.0,1.1,IP5.75 / BP7.25 | 今回は強い特徴信号は薄め
